year,month,precinct,offense_category,0
2021,August,03,SEXUAL ASSAULT,2
2021,August,03,STOLEN PROPERTY,15
2021,August,03,STOLEN VEHICLE,45
2021,August,03,WEAPONS OFFENSES,50
2021,August,04,AGGRAVATED ASSAULT,30
2021,August,04,ARSON,3
2021,August,04,ASSAULT,85
2021,August,04,BURGLARY,16
2021,August,04,DAMAGE TO PROPERTY,46
2021,August,04,DANGEROUS DRUGS,18
2021,August,04,EXTORTION,1
2021,August,04,FAMILY OFFENSE,2
2021,August,04,FRAUD,14
2021,August,04,HOMICIDE,1
2021,August,04,KIDNAPPING,1
2021,August,04,LARCENY,49
2021,August,04,MISCELLANEOUS,1
2021,August,04,OBSTRUCTING JUDICIARY,14
2021,August,04,OBSTRUCTING THE POLICE,4
2021,August,04,ROBBERY,14
2021,August,04,RUNAWAY,6
2021,August,04,SEX OFFENSES,3
2021,August,04,SEXUAL ASSAULT,5
2021,August,04,STOLEN PROPERTY,16
2021,August,04,STOLEN VEHICLE,22
2021,August,04,WEAPONS OFFENSES,25
2021,August,05,AGGRAVATED ASSAULT,81
2021,August,05,ARSON,5
2021,August,05,ASSAULT,96
2021,August,05,BURGLARY,39
2021,August,05,DAMAGE TO PROPERTY,78
2021,August,05,DANGEROUS DRUGS,1
2021,August,05,DISORDERLY CONDUCT,4
2021,August,05,FRAUD,37
2021,August,05,HOMICIDE,3
2021,August,05,JUSTIFIABLE HOMICIDE,1
2021,August,05,LARCENY,73
2021,August,05,MISCELLANEOUS,1
2021,August,05,OBSTRUCTING JUDICIARY,5
2021,August,05,OBSTRUCTING THE POLICE,11
2021,August,05,OTHER,1
2021,August,05,ROBBERY,5
2021,August,05,RUNAWAY,5
2021,August,05,SEX OFFENSES,4
2021,August,05,SEXUAL ASSAULT,7
2021,August,05,STOLEN PROPERTY,16
2021,August,05,STOLEN VEHICLE,38
2021,August,05,WEAPONS OFFENSES,38
2021,August,06,AGGRAVATED ASSAULT,94
2021,August,06,ARSON,4
2021,August,06,ASSAULT,169
2021,August,06,BURGLARY,50
2021,August,06,DAMAGE TO PROPERTY,111
2021,August,06,DANGEROUS DRUGS,5
2021,August,06,DISORDERLY CONDUCT,2
2021,August,06,FAMILY OFFENSE,1
2021,August,06,FORGERY,2
2021,August,06,FRAUD,42
2021,August,06,HOMICIDE,2
2021,August,06,LARCENY,87
2021,August,06,OBSTRUCTING JUDICIARY,16
2021,August,06,OBSTRUCTING THE POLICE,21
2021,August,06,OUIL,2
2021,August,06,ROBBERY,12
2021,August,06,RUNAWAY,4
2021,August,06,SEX OFFENSES,22
2021,August,06,SEXUAL ASSAULT,4
2021,August,06,STOLEN PROPERTY,20
2021,August,06,STOLEN VEHICLE,64
2021,August,06,WEAPONS OFFENSES,46
2021,August,07,AGGRAVATED ASSAULT,46
2021,August,07,ARSON,1
2021,August,07,ASSAULT,90
2021,August,07,BURGLARY,17
2021,August,07,DAMAGE TO PROPERTY,67
2021,August,07,DANGEROUS DRUGS,4
2021,August,07,DISORDERLY CONDUCT,1
2021,August,07,EXTORTION,1
2021,August,07,FAMILY OFFENSE,2
2021,August,07,FORGERY,3
2021,August,07,FRAUD,17
2021,August,07,HOMICIDE,1
2021,August,07,JUSTIFIABLE HOMICIDE,1
2021,August,07,LARCENY,114
2021,August,07,LIQUOR,1
2021,August,07,OBSTRUCTING JUDICIARY,2
2021,August,07,OBSTRUCTING THE POLICE,12
2021,August,07,OUIL,2
2021,August,07,ROBBERY,5
2021,August,07,RUNAWAY,4
2021,August,07,SEX OFFENSES,1
2021,August,07,SEXUAL ASSAULT,3
2021,August,07,STOLEN PROPERTY,14
2021,August,07,STOLEN VEHICLE,45
2021,August,07,WEAPONS OFFENSES,28
2021,August,08,AGGRAVATED ASSAULT,100
2021,August,08,ARSON,6
2021,August,08,ASSAULT,139
2021,August,08,BURGLARY,46
2021,August,08,DAMAGE TO PROPERTY,104
2021,August,08,DANGEROUS DRUGS,15
2021,August,08,DISORDERLY CONDUCT,1
2021,August,08,FAMILY OFFENSE,3
2021,August,08,FORGERY,5
2021,August,08,FRAUD,60
2021,August,08,HOMICIDE,4
2021,August,08,KIDNAPPING,1
2021,August,08,LARCENY,100
2021,August,08,LIQUOR,6
2021,August,08,MISCELLANEOUS,1
2021,August,08,OBSTRUCTING JUDICIARY,12
2021,August,08,OBSTRUCTING THE POLICE,22
2021,August,08,OTHER,1
2021,August,08,OUIL,2
2021,August,08,ROBBERY,15
2021,August,08,RUNAWAY,4
2021,August,08,SEX OFFENSES,5
2021,August,08,SEXUAL ASSAULT,3
2021,August,08,STOLEN PROPERTY,32
2021,August,08,STOLEN VEHICLE,82
2021,August,08,WEAPONS OFFENSES,65
2021,August,09,AGGRAVATED ASSAULT,113
2021,August,09,ARSON,12
2021,August,09,ASSAULT,179
2021,August,09,BURGLARY,56
2021,August,09,DAMAGE TO PROPERTY,123
2021,August,09,DANGEROUS DRUGS,10
2021,August,09,DISORDERLY CONDUCT,2
2021,August,09,FAMILY OFFENSE,3
2021,August,09,FORGERY,1
2021,August,09,FRAUD,42
2021,August,09,HOMICIDE,3
2021,August,09,JUSTIFIABLE HOMICIDE,1
2021,August,09,KIDNAPPING,7
2021,August,09,LARCENY,94
2021,August,09,LIQUOR,2
2021,August,09,MISCELLANEOUS,3
2021,August,09,OBSTRUCTING JUDICIARY,9
2021,August,09,OBSTRUCTING THE POLICE,13
2021,August,09,OUIL,6
2021,August,09,ROBBERY,18
2021,August,09,RUNAWAY,4
2021,August,09,SEX OFFENSES,9
2021,August,09,SEXUAL ASSAULT,9
2021,August,09,STOLEN PROPERTY,31
2021,August,09,STOLEN VEHICLE,79
2021,August,09,WEAPONS OFFENSES,80
2021,August,10,AGGRAVATED ASSAULT,71
2021,August,10,ARSON,8
2021,August,10,ASSAULT,133
2021,August,10,BURGLARY,49
2021,August,10,DAMAGE TO PROPERTY,89
2021,August,10,DANGEROUS DRUGS,7
2021,August,10,DISORDERLY CONDUCT,1
2021,August,10,FAMILY OFFENSE,1
2021,August,10,FORGERY,1
2021,August,10,FRAUD,26
2021,August,10,HOMICIDE,2
2021,August,10,KIDNAPPING,4
2021,August,10,LARCENY,91
2021,August,10,MISCELLANEOUS,1
2021,August,10,OBSTRUCTING JUDICIARY,6
2021,August,10,OBSTRUCTING THE POLICE,6
2021,August,10,OTHER,3
2021,August,10,OUIL,2
2021,August,10,ROBBERY,13
2021,August,10,RUNAWAY,2
2021,August,10,SEX OFFENSES,7
2021,August,10,SEXUAL ASSAULT,4
2021,August,10,STOLEN PROPERTY,10
2021,August,10,STOLEN VEHICLE,40
2021,August,10,WEAPONS OFFENSES,22
2021,August,11,AGGRAVATED ASSAULT,101
2021,August,11,ARSON,3
2021,August,11,ASSAULT,123
2021,August,11,BURGLARY,31
2021,August,11,DAMAGE TO PROPERTY,87
2021,August,11,DANGEROUS DRUGS,7
2021,August,11,DISORDERLY CONDUCT,1
2021,August,11,FORGERY,6
2021,August,11,FRAUD,35
2021,August,11,HOMICIDE,2
2021,August,11,KIDNAPPING,1
2021,August,11,LARCENY,55
2021,August,11,MISCELLANEOUS,1
2021,August,11,OBSTRUCTING JUDICIARY,7
2021,August,11,OBSTRUCTING THE POLICE,9
2021,August,11,OTHER,2
2021,August,11,OUIL,2
2021,August,11,ROBBERY,12
2021,August,11,RUNAWAY,4
2021,August,11,SEX OFFENSES,4
2021,August,11,SEXUAL ASSAULT,3
2021,August,11,STOLEN PROPERTY,16
2021,August,11,STOLEN VEHICLE,32
2021,August,11,WEAPONS OFFENSES,24
2021,August,12,AGGRAVATED ASSAULT,84
2021,August,12,ARSON,5
2021,August,12,ASSAULT,146
2021,August,12,BURGLARY,48
2021,August,12,DAMAGE TO PROPERTY,88
2021,August,12,DANGEROUS DRUGS,6
2021,August,12,DISORDERLY CONDUCT,2
2021,August,12,FAMILY OFFENSE,2
2021,August,12,FORGERY,3
2021,August,12,FRAUD,66
2021,August,12,HOMICIDE,1
2021,August,12,KIDNAPPING,3
2021,August,12,LARCENY,106
2021,August,12,LIQUOR,1
2021,August,12,MISCELLANEOUS,1
2021,August,12,OBSTRUCTING JUDICIARY,7
2021,August,12,OBSTRUCTING THE POLICE,11
2021,August,12,OTHER,1
2021,August,12,OUIL,2
2021,August,12,ROBBERY,15
2021,August,12,RUNAWAY,2
2021,August,12,SEX OFFENSES,30
2021,August,12,SEXUAL ASSAULT,8
2021,August,12,STOLEN PROPERTY,20
2021,August,12,STOLEN VEHICLE,82
2021,August,12,WEAPONS OFFENSES,45
2021,December,0,WEAPONS OFFENSES,1
2021,December,02,AGGRAVATED ASSAULT,70
2021,December,02,ARSON,1
2021,December,02,ASSAULT,87
2021,December,02,BURGLARY,45
2021,December,02,DAMAGE TO PROPERTY,71
2021,December,02,DANGEROUS DRUGS,2
2021,December,02,FAMILY OFFENSE,2
2021,December,02,FRAUD,42
2021,December,02,HOMICIDE,3
2021,December,02,LARCENY,72
2021,December,02,MISCELLANEOUS,1
2021,December,02,OBSTRUCTING JUDICIARY,5
2021,December,02,OBSTRUCTING THE POLICE,7
2021,December,02,OTHER,4
2021,December,02,ROBBERY,11
2021,December,02,RUNAWAY,2
2021,December,02,SEX OFFENSES,2
2021,December,02,SEXUAL ASSAULT,3
2021,December,02,STOLEN PROPERTY,15
2021,December,02,STOLEN VEHICLE,58
