year,year_month,precinct,offense_category,counts,crime_bucket
2019,2019-07,06,WEAPONS OFFENSES,17,Weapons
2019,2019-07,07,WEAPONS OFFENSES,15,Weapons
2019,2019-07,08,WEAPONS OFFENSES,23,Weapons
2019,2019-07,09,WEAPONS OFFENSES,25,Weapons
2019,2019-07,10,WEAPONS OFFENSES,12,Weapons
2019,2019-07,11,WEAPONS OFFENSES,15,Weapons
2019,2019-07,12,WEAPONS OFFENSES,7,Weapons
2019,2019-08,02,WEAPONS OFFENSES,13,Weapons
2019,2019-08,03,WEAPONS OFFENSES,15,Weapons
2019,2019-08,04,WEAPONS OFFENSES,22,Weapons
2019,2019-08,05,WEAPONS OFFENSES,7,Weapons
2019,2019-08,06,WEAPONS OFFENSES,21,Weapons
2019,2019-08,07,WEAPONS OFFENSES,13,Weapons
2019,2019-08,08,WEAPONS OFFENSES,41,Weapons
2019,2019-08,09,WEAPONS OFFENSES,32,Weapons
2019,2019-08,10,WEAPONS OFFENSES,15,Weapons
2019,2019-08,11,WEAPONS OFFENSES,19,Weapons
2019,2019-08,12,WEAPONS OFFENSES,11,Weapons
2019,2019-09,02,WEAPONS OFFENSES,11,Weapons
2019,2019-09,03,WEAPONS OFFENSES,17,Weapons
2019,2019-09,04,WEAPONS OFFENSES,14,Weapons
2019,2019-09,05,WEAPONS OFFENSES,11,Weapons
2019,2019-09,06,WEAPONS OFFENSES,12,Weapons
2019,2019-09,07,WEAPONS OFFENSES,9,Weapons
2019,2019-09,08,WEAPONS OFFENSES,38,Weapons
2019,2019-09,09,WEAPONS OFFENSES,31,Weapons
2019,2019-09,10,WEAPONS OFFENSES,9,Weapons
2019,2019-09,11,WEAPONS OFFENSES,8,Weapons
2019,2019-09,12,WEAPONS OFFENSES,10,Weapons
2019,2019-10,02,WEAPONS OFFENSES,13,Weapons
2019,2019-10,03,WEAPONS OFFENSES,12,Weapons
2019,2019-10,04,WEAPONS OFFENSES,11,Weapons
2019,2019-10,05,WEAPONS OFFENSES,8,Weapons
2019,2019-10,06,WEAPONS OFFENSES,12,Weapons
2019,2019-10,07,WEAPONS OFFENSES,12,Weapons
2019,2019-10,08,WEAPONS OFFENSES,26,Weapons
2019,2019-10,09,WEAPONS OFFENSES,20,Weapons
2019,2019-10,10,WEAPONS OFFENSES,15,Weapons
2019,2019-10,11,WEAPONS OFFENSES,7,Weapons
2019,2019-10,12,WEAPONS OFFENSES,13,Weapons
2019,2019-11,02,WEAPONS OFFENSES,18,Weapons
2019,2019-11,03,WEAPONS OFFENSES,12,Weapons
2019,2019-11,04,WEAPONS OFFENSES,8,Weapons
2019,2019-11,05,WEAPONS OFFENSES,15,Weapons
2019,2019-11,06,WEAPONS OFFENSES,23,Weapons
2019,2019-11,07,WEAPONS OFFENSES,17,Weapons
2019,2019-11,08,WEAPONS OFFENSES,24,Weapons
2019,2019-11,09,WEAPONS OFFENSES,23,Weapons
2019,2019-11,10,WEAPONS OFFENSES,6,Weapons
2019,2019-11,11,WEAPONS OFFENSES,10,Weapons
2019,2019-11,12,WEAPONS OFFENSES,5,Weapons
2019,2019-12,02,WEAPONS OFFENSES,13,Weapons
2019,2019-12,03,WEAPONS OFFENSES,12,Weapons
2019,2019-12,04,WEAPONS OFFENSES,7,Weapons
